id,company_name,max_price,min_price,closing_price,previous_closing,difference
66,IME General Insurance Ltd.,1105.00,1072.00,1090.00,1093.00,-3.00
67,Infinity Laghubitta Bittiya Sanstha Limited,1509.00,1434.00,1505.00,1461.00,44.00
68,Janaki Finance Ltd.,261.00,256.00,260.00,259.00,1.00
69,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,3980.00,3908.00,3973.00,3940.00,33.00
70,Joshi Hydropower Development Company Ltd,137.00,125.00,131.00,127.00,4.00
71,Jyoti Bikas Bank Limited,223.00,220.00,223.00,222.00,1.00
72,Kalika Microcredit Development Bank Ltd.,1320.00,1245.00,1312.00,1270.00,42.00
73,Kalika power Company Ltd,287.00,259.00,287.00,261.00,26.00
74,Kamana Sewa Bikas Bank Limited,313.00,307.00,310.00,311.00,-1.00
75,Karnali Development Bank Limited,169.00,160.00,166.00,163.00,3.00
